2020-12-24 12:34:32 /mysql/mysql.go,line 822: 2020-12-24 12:34:32连接据库root:123456@tcp(192.168.1.180:3306)/jachunPM_user?charset=utf8&loc=Local
2020-12-24 12:34:32 /protocol/rpcClient.go,line 432: 连接host成功，本服务ID0
2020-12-24 12:34:32 /protocol/rpcClient.go,line 434: 连接host_cache成功,cacheId0
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 85
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 85
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 84
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 85
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 83
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 82
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 82
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 82
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 82
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 81
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 80
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 79
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 79
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 79
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 78
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 77
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 77
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 77
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 76
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 75
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 75
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 74
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 74
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 73
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 73
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 72
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 72
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 71
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 71
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 70
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 68
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 67
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 69
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 66
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 65
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 65
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 64
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 64
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 63
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 64
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 63
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 63
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 62
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 62
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 61
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 61
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 60
/data/jachunPM/mysql/mysql_driver.go,line 457: 池子总量 61
/data/jachunPM/mysql/mysql_driver.go,line 459: 池子总量 60
2020-12-25 09:45:01 /jachunPM_user/handler/tick.go,line 70: 检查user刷新缓存失败执行Select出错,sql错误信息：dial tcp 192.168.1.180:3306: connect: connection timed out,错误sql：select * from `user` where TimeStamp >?  参数 [1608889370]
